X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM
139419.0452,987753.3332,0,46654021.61,0,32,0,0,0,0,0,0,0
139419.0452,994583.7081,0,46654021.61,0,33,0,0,0,0,0,0,0
139419.0452,1001414.083,0,46654021.61,0,34,0,0,0,0,0,0,0
139419.0452,1008244.458,0,46654021.61,3,35,0,0,0,0,0,0,0
139419.0452,1015074.833,0,46654023.59,0,36,0,0,0,0,0,0,0
139419.0452,1021905.208,0,46654017.66,0,37,0,0,0,0,0,0,0
139419.0452,1028735.582,0,46654019.63,0,38,0,0,0,0,0,0,0
139419.0452,1035565.957,0,46654021.61,0,39,0,0,0,0,0,0,1
139419.0452,1042396.332,0,58999821.99,1,40,1,1,3,2,0,5,6
139419.0452,1049226.707,0,57659925.35,1,41,0,0,0,1,0,1,1
146249.4201,946771.0839,0,64141547.39,0,42,0,0,0,0,0,0,0
146249.4201,953601.4588,0,46654019.63,0,43,0,0,0,0,0,0,0
146249.4201,960431.8337,0,46654019.63,0,44,0,0,0,0,0,0,0
146249.4201,967262.2086,0,46654019.63,0,45,0,0,0,0,0,0,0
146249.4201,974092.5834,0,46654017.66,3,46,0,0,0,0,0,0,0
146249.4201,980922.9583,0,46654019.63,0,47,0,0,0,0,0,0,0
146249.4201,987753.3332,0,46654019.63,0,48,0,0,0,0,0,0,0
146249.4201,994583.7081,0,46654019.63,0,49,0,0,0,0,0,0,0
146249.4201,1001414.083,0,46654019.63,0,50,0,0,0,0,0,0,0
146249.4201,1008244.458,0,46654019.63,0,51,0,0,0,0,0,0,0
146249.4201,1015074.833,0,46654021.61,0,52,0,0,0,0,0,0,0
146249.4201,1021905.208,0,46654015.68,0,53,0,0,0,0,0,0,0
146249.4201,1028735.582,0,46654017.66,0,54,0,0,0,0,0,0,0
146249.4201,1035565.957,0,46654019.63,0,55,0,0,0,0,0,0,0
146249.4201,1042396.332,0,46654019.63,0,56,1,0,2,0,1,2,5
146249.4201,1049226.707,0,46654021.61,0,57,0,0,0,0,0,0,0
146249.4201,1056057.082,0,52422822.01,0,58,0,0,0,0,0,0,0
146249.4201,1062887.457,0,34176831.24,2,59,0,0,0,0,0,0,0
146249.4201,1069717.832,0,24706022.98,4,60,0,0,0,0,0,0,0
153079.7949,946771.0839,0,66874773.95,0,61,0,0,0,0,0,0,0
153079.7949,953601.4588,0,46654021.61,0,62,0,0,0,0,0,0,0
153079.7949,960431.8337,0,46654021.61,0,63,0,0,0,0,0,0,0
153079.7949,967262.2086,0,46654021.61,0,64,0,0,0,0,0,0,0
153079.7949,974092.5834,0,46654019.63,0,65,0,0,0,0,0,0,0
153079.7949,980922.9583,0,46654021.61,2,66,0,0,0,0,0,0,0
153079.7949,987753.3332,0,46654021.61,0,67,0,0,0,0,0,0,0
153079.7949,994583.7081,0,46654021.61,0,68,0,0,0,0,0,0,0
153079.7949,1001414.083,0,46654021.61,0,69,0,0,0,0,0,0,0
153079.7949,1008244.458,0,46654021.61,0,70,0,0,0,0,0,0,0
153079.7949,1015074.833,0,46654023.59,0,71,0,0,0,0,0,0,0
153079.7949,1021905.208,0,46654017.66,0,72,0,0,0,0,0,0,0
153079.7949,1028735.582,0,46654019.63,0,73,0,0,0,0,0,0,0
153079.7949,1035565.957,0,46654021.61,0,74,0,0,0,0,0,0,0
153079.7949,1042396.332,0,46654021.61,0,75,0,0,0,0,0,0,1
153079.7949,1049226.707,0,46654023.59,0,76,0,0,0,0,0,0,0
153079.7949,1056057.082,0,46654021.61,0,77,0,0,0,0,0,0,0
153079.7949,1062887.457,0,46654021.61,0,78,0,0,0,0,0,0,0
153079.7949,1069717.832,0,46654021.61,0,79,0,0,0,0,0,0,0
153079.7949,1076548.207,0,39403495.45,1,80,0,0,0,0,0,0,0
153079.7949,1083378.581,0,37866291.69,3,81,0,0,0,0,0,0,0
159910.1698,946771.0839,0,63619701.42,0,82,0,0,0,0,0,0,0
159910.1698,953601.4588,0,46654021.61,0,83,0,0,0,0,0,0,0
159910.1698,960431.8337,0,46654021.61,0,84,0,0,0,0,0,0,0
159910.1698,967262.2086,0,46654021.61,0,85,0,0,0,0,0,0,0
159910.1698,974092.5834,0,46654019.63,0,86,0,0,0,0,0,0,0
159910.1698,980922.9583,0,46654021.61,0,87,0,0,0,0,0,0,0
159910.1698,987753.3332,0,46654021.61,0,88,0,0,0,0,0,0,0
159910.1698,994583.7081,0,46654021.61,0,89,0,0,0,0,0,0,0
159910.1698,1001414.083,0,46654021.61,0,90,0,0,0,0,0,0,0
159910.1698,1008244.458,0,46654021.61,0,91,0,0,0,0,0,0,0
159910.1698,1015074.833,0,46654023.59,4,92,0,0,0,0,0,0,0
159910.1698,1021905.208,0,46654017.66,1,93,0,0,0,0,0,0,0
159910.1698,1028735.582,0,46654019.63,0,94,0,0,0,0,0,0,0
159910.1698,1035565.957,0,46654021.61,0,95,0,0,0,0,0,0,0
159910.1698,1042396.332,0,46654021.61,0,96,0,0,0,0,0,0,0
159910.1698,1049226.707,0,46654023.59,0,97,0,0,0,0,0,0,0
159910.1698,1056057.082,0,46654021.61,0,98,0,0,0,0,0,0,0
159910.1698,1062887.457,0,46654021.61,0,99,0,0,0,0,0,0,0
159910.1698,1069717.832,0,46654021.61,0,100,0,0,0,0,0,0,0
159910.1698,1076548.207,0,46654019.63,0,101,0,0,0,0,0,0,0
159910.1698,1083378.581,0,46654015.68,5,102,0,0,0,0,0,0,0
159910.1698,1090208.956,0,52351240.72,7,103,0,0,0,0,0,0,0
159910.1698,1097039.331,0,47274806.46,5,104,0,0,0,0,0,0,0
159910.1698,1103869.706,0,53131312.98,0,105,0,0,0,0,0,0,0
159910.1698,1110700.081,0,53013087.2,0,106,0,0,0,0,0,0,0
159910.1698,1117530.456,0,38691342.41,0,107,0,0,0,0,0,0,0
166740.5447,939940.7091,0,31798257.31,0,108,0,0,0,0,0,0,0
166740.5447,946771.0839,0,46654021.61,0,109,0,0,0,0,0,0,0
166740.5447,953601.4588,0,46654021.61,0,110,0,0,0,0,0,0,0
166740.5447,960431.8337,0,46654021.61,0,111,0,0,0,0,0,0,0
166740.5447,967262.2086,0,46654021.61,0,112,0,0,0,0,0,0,0
166740.5447,974092.5834,0,46654019.63,0,113,0,0,1,0,0,2,0
166740.5447,980922.9583,0,46654021.61,0,114,0,0,0,0,0,0,0
166740.5447,987753.3332,0,46654021.61,0,115,0,0,0,0,0,0,0
166740.5447,994583.7081,0,46654021.61,0,116,0,0,0,0,0,0,0
166740.5447,1001414.083,0,46654021.61,0,117,0,0,0,0,0,0,0
166740.5447,1008244.458,0,46654021.61,0,118,0,0,0,0,0,0,0
166740.5447,1015074.833,0,46654023.59,0,119,0,0,0,0,0,0,0
166740.5447,1021905.208,0,46654017.66,0,120,0,0,0,0,0,0,0
166740.5447,1028735.582,0,46654019.63,0,121,0,0,0,0,0,0,0
166740.5447,1035565.957,0,46654021.61,0,122,0,0,0,0,0,0,0
166740.5447,1042396.332,0,46654021.61,1,123,0,0,0,0,0,0,0
166740.5447,1049226.707,0,46654023.59,0,124,0,0,0,0,0,0,0
166740.5447,1056057.082,0,46654021.61,0,125,0,0,0,0,0,0,0
166740.5447,1062887.457,0,46654021.61,0,126,0,0,0,0,0,0,0
166740.5447,1069717.832,0,46654021.61,1,127,0,0,0,0,0,0,0
166740.5447,1076548.207,0,46654019.63,1,128,0,0,0,0,0,0,0
