X,Y,id,Area,Pacount,Order,MR,OB,JB,GB,AO,BB,GM,Gridall,GridT1,GridPA
124904.4986,944209.6934,0,2915876.351,0,87,0,0,0,0,0,0,0,0,0,0
124904.4986,945917.2871,0,2915876.351,0,88,0,0,0,0,0,0,0,0,0,0
124904.4986,947624.8808,0,2915876.351,0,89,0,0,0,0,0,0,0,0,0,0
124904.4986,949332.4745,0,2915876.351,0,90,0,0,0,0,0,0,0,0,0,0
124904.4986,951040.0682,0,2915876.351,0,91,0,0,0,0,0,0,0,0,0,0
124904.4986,952747.662,0,2915876.351,0,92,0,0,0,0,0,0,0,0,0,0
124904.4986,954455.2557,0,2915876.351,0,93,0,0,0,0,0,0,0,0,0,0
124904.4986,956162.8494,0,2915876.351,1,94,0,0,0,0,0,0,0,1,0,1
124904.4986,957870.4431,0,2915876.351,0,95,0,0,0,0,0,0,0,0,0,0
124904.4986,959578.0368,0,2915876.351,0,96,0,0,0,0,0,0,0,0,0,0
124904.4986,961285.6305,0,2915876.351,0,97,0,0,0,0,0,0,0,0,0,0
124904.4986,962993.2243,0,2915876.351,0,98,0,0,0,0,0,0,0,0,0,0
124904.4986,964700.818,0,2915876.351,0,99,0,0,0,0,0,0,0,0,0,0
124904.4986,966408.4117,0,2915876.351,0,100,0,0,0,0,0,0,0,0,0,0
124904.4986,968116.0054,0,2915876.351,0,101,0,0,0,0,0,0,0,0,0,0
124904.4986,969823.5991,0,2915876.351,1,102,0,0,0,0,0,0,0,1,0,1
124904.4986,971531.1929,0,2915876.351,0,103,0,0,0,0,0,0,0,0,0,0
124904.4986,973238.7866,0,2915876.351,0,104,0,0,0,0,0,0,0,0,0,0
124904.4986,974946.3803,0,2915875.857,0,105,0,0,0,0,0,0,0,0,0,0
124904.4986,976653.974,0,2915876.351,0,106,0,0,0,0,0,0,0,0,0,0
124904.4986,978361.5677,0,2915876.351,0,107,0,0,0,0,0,0,0,0,0,0
124904.4986,980069.1615,0,2915876.351,5,108,0,0,0,0,0,0,0,1,0,1
124904.4986,981776.7552,0,3300897.685,7,109,0,1,0,0,0,0,0,1,1,1
124904.4986,983484.3489,0,3886055.669,1,110,0,0,0,0,0,0,0,1,0,1
124904.4986,985191.9426,0,2982818.128,0,111,0,0,0,0,0,0,0,0,0,0
124904.4986,986899.5363,0,3411929.577,0,112,0,0,0,0,0,0,0,0,0,0
124904.4986,988607.13,0,2915876.351,0,113,0,0,0,0,0,0,0,0,0,0
124904.4986,990314.7238,0,2915876.351,0,114,0,0,0,0,0,0,0,0,0,0
124904.4986,992022.3175,0,2915876.351,0,115,0,0,0,0,0,0,0,0,0,0
124904.4986,993729.9112,0,2915876.351,0,116,0,0,0,0,0,0,0,0,0,0
124904.4986,995437.5049,0,3302839.485,0,117,0,0,0,0,0,0,0,0,0,0
124904.4986,997145.0986,0,3412795.427,2,118,0,0,0,0,0,0,0,1,0,1
124904.4986,998852.6924,0,2886287.89,2,119,0,0,0,0,0,0,0,1,0,1
124904.4986,1000560.286,0,3466576.55,1,120,0,0,0,0,0,0,0,1,0,1
126612.0923,942502.0996,0,2502722.152,0,121,0,0,0,0,0,0,0,0,0,0
126612.0923,944209.6934,0,2915876.351,0,122,0,0,0,0,0,0,0,0,0,0
126612.0923,945917.2871,0,2915876.351,0,123,0,0,0,0,0,0,0,0,0,0
126612.0923,947624.8808,0,2915876.351,0,124,0,0,0,0,0,0,0,0,0,0
126612.0923,949332.4745,0,2915876.351,0,125,0,0,0,0,0,0,0,0,0,0
126612.0923,951040.0682,0,2915876.351,0,126,0,0,0,0,0,0,0,0,0,0
126612.0923,952747.662,0,2915876.351,0,127,0,0,0,0,0,0,0,0,0,0
126612.0923,954455.2557,0,2915876.351,0,128,0,0,0,0,0,0,0,0,0,0
126612.0923,956162.8494,0,2915876.351,0,129,0,0,0,0,0,0,0,0,0,0
126612.0923,957870.4431,0,2915876.351,0,130,0,0,0,0,0,0,0,0,0,0
126612.0923,959578.0368,0,2915876.351,0,131,0,0,0,0,0,0,0,0,0,0
126612.0923,961285.6305,0,2915876.351,0,132,0,0,0,0,0,0,0,0,0,0
126612.0923,962993.2243,0,2915876.351,1,133,0,0,0,0,0,0,0,1,0,1
126612.0923,964700.818,0,2915876.351,0,134,0,0,0,0,0,0,0,0,0,0
126612.0923,966408.4117,0,2915876.351,0,135,0,0,0,0,0,0,0,0,0,0
126612.0923,968116.0054,0,2915876.351,0,136,0,0,0,0,0,0,0,0,0,0
126612.0923,969823.5991,0,2915876.351,0,137,0,0,0,0,0,0,0,0,0,0
126612.0923,971531.1929,0,2915876.351,0,138,0,0,0,0,0,0,0,0,0,0
126612.0923,973238.7866,0,2915876.351,0,139,0,0,0,0,0,0,0,0,0,0
126612.0923,974946.3803,0,2915875.857,1,140,0,0,0,0,0,0,0,1,0,1
126612.0923,976653.974,0,2915876.351,0,141,0,0,0,0,0,0,0,0,0,0
126612.0923,978361.5677,0,2915876.351,0,142,0,0,0,0,0,0,0,0,0,0
126612.0923,980069.1615,0,2915876.351,0,143,0,0,0,0,0,0,0,0,0,0
126612.0923,981776.7552,0,2915876.351,1,144,0,0,0,0,0,0,0,1,0,1
126612.0923,983484.3489,0,2915876.351,4,145,0,0,0,0,0,0,0,1,0,1
126612.0923,985191.9426,0,2915876.351,0,146,0,0,0,0,0,0,0,0,0,0
126612.0923,986899.5363,0,2915876.351,0,147,0,0,0,0,0,0,0,0,0,0
126612.0923,988607.13,0,2915876.351,0,148,0,0,0,0,0,0,0,0,0,0
126612.0923,990314.7238,0,2915876.351,0,149,0,0,0,0,0,0,0,0,0,0
126612.0923,992022.3175,0,2915876.351,0,150,0,0,0,0,0,0,0,0,0,0
126612.0923,993729.9112,0,2915876.351,0,151,0,0,0,0,0,0,0,0,0,0
126612.0923,995437.5049,0,2915876.351,0,152,0,0,0,0,0,0,0,0,0,0
126612.0923,997145.0986,0,2915876.351,0,153,0,0,0,0,0,0,0,0,0,0
126612.0923,998852.6924,0,2915876.351,0,154,0,0,0,0,0,0,0,0,0,0
126612.0923,1000560.286,0,2915876.351,4,155,0,0,0,0,0,0,0,1,0,1
126612.0923,1002267.88,0,3249585.134,0,156,0,0,0,0,0,0,0,0,0,0
126612.0923,1003975.474,0,2368734.341,0,157,0,0,0,0,0,0,0,0,0,0
126612.0923,1009098.255,0,2134849.298,0,158,0,0,0,0,0,0,0,0,0,0
126612.0923,1014221.036,0,3857486.232,0,159,0,0,0,0,0,0,0,0,0,0
128319.686,942502.0996,0,2656421.248,0,160,0,0,0,0,0,0,0,0,0,0
128319.686,944209.6934,0,2915876.351,0,161,0,0,0,0,0,0,0,0,0,0
128319.686,945917.2871,0,2915876.351,0,162,0,0,0,0,0,0,0,0,0,0
128319.686,947624.8808,0,2915876.351,0,163,0,0,0,0,0,0,0,0,0,0
128319.686,949332.4745,0,2915876.351,0,164,0,0,0,0,0,0,0,0,0,0
128319.686,951040.0682,0,2915876.351,0,165,0,0,0,0,0,0,0,0,0,0
128319.686,952747.662,0,2915876.351,0,166,0,0,0,0,0,0,0,0,0,0
128319.686,954455.2557,0,2915876.351,0,167,0,0,0,0,0,0,0,0,0,0
128319.686,956162.8494,0,2915876.351,0,168,0,0,0,0,0,0,0,0,0,0
128319.686,957870.4431,0,2915876.351,0,169,0,0,0,0,0,0,0,0,0,0
128319.686,959578.0368,0,2915876.351,0,170,0,0,0,0,0,0,0,0,0,0
128319.686,961285.6305,0,2915876.351,0,171,0,0,0,0,0,0,0,0,0,0
128319.686,962993.2243,0,2915876.351,0,172,0,0,0,0,0,0,0,0,0,0
128319.686,964700.818,0,2915876.351,0,173,0,0,0,0,0,0,0,0,0,0
128319.686,966408.4117,0,2915876.351,0,174,0,0,0,0,0,0,0,0,0,0
128319.686,968116.0054,0,2915876.351,0,175,0,0,0,0,0,0,0,0,0,0
128319.686,969823.5991,0,2915876.351,0,176,0,0,0,0,0,0,0,0,0,0
128319.686,971531.1929,0,2915876.351,0,177,0,0,0,0,0,0,0,0,0,0
128319.686,973238.7866,0,2915876.351,0,178,0,0,0,0,0,0,0,0,0,0
128319.686,974946.3803,0,2915875.857,0,179,0,0,0,0,0,0,0,0,0,0
128319.686,976653.974,0,2915876.351,0,180,0,0,0,0,0,0,0,0,0,0
128319.686,978361.5677,0,2915876.351,0,181,0,0,0,0,0,0,0,0,0,0
128319.686,980069.1615,0,2915876.351,0,182,0,0,0,0,0,0,0,0,0,0
128319.686,981776.7552,0,2915876.351,0,183,0,0,0,0,0,0,0,0,0,0
128319.686,983484.3489,0,2915876.351,0,184,0,0,0,0,0,0,0,0,0,0
128319.686,985191.9426,0,2915876.351,0,185,0,0,0,0,0,0,0,0,0,0
128319.686,986899.5363,0,2915876.351,0,186,0,0,0,0,0,0,0,0,0,0
128319.686,988607.13,0,2915876.351,0,187,0,0,0,0,0,0,0,0,0,0
128319.686,990314.7238,0,2915876.351,0,188,0,0,0,0,0,0,0,0,0,0
128319.686,992022.3175,0,2915876.351,0,189,0,0,0,0,0,0,0,0,0,0
128319.686,993729.9112,0,2915876.351,0,190,0,0,0,0,0,0,0,0,0,0
128319.686,995437.5049,0,2915876.351,0,191,0,0,0,0,0,0,0,0,0,0
128319.686,997145.0986,0,2915876.351,0,192,0,0,0,0,0,0,0,0,0,0
128319.686,998852.6924,0,2915876.351,0,193,0,0,0,0,0,0,0,0,0,0
128319.686,1000560.286,0,2915876.351,0,194,0,0,0,0,0,0,0,0,0,0
128319.686,1002267.88,0,2915876.845,0,195,0,0,0,0,0,0,0,0,0,0
128319.686,1003975.474,0,2915875.857,0,196,0,0,0,0,0,0,0,0,0,0
128319.686,1005683.067,0,3815194.553,0,197,0,0,0,0,0,0,0,0,0,0
128319.686,1007390.661,0,3202026.536,0,198,0,0,0,0,0,0,0,0,0,0
128319.686,1009098.255,0,2915875.857,0,199,0,0,0,0,0,0,0,0,0,0
128319.686,1010805.848,0,3440181.176,1,200,0,0,0,0,0,0,0,1,0,1
128319.686,1012513.442,0,3171056.381,4,201,0,0,0,0,0,0,0,1,0,1
128319.686,1014221.036,0,2915876.845,0,202,0,0,0,0,0,0,0,0,0,0
128319.686,1015928.63,0,3788240.099,1,203,0,0,0,0,0,0,0,1,0,1
128319.686,1017636.223,0,3585177.585,0,204,0,0,0,0,0,0,0,0,0,0
128319.686,1019343.817,0,3137991.319,0,205,0,0,0,0,0,0,0,0,0,0
128319.686,1021051.411,0,2698694.459,1,206,0,0,0,0,0,0,0,1,0,1
128319.686,1022759.004,0,2133937.449,0,207,0,0,0,0,0,0,0,0,0,0
128319.686,1024466.598,0,2226612.905,8,208,0,0,0,0,0,0,0,1,0,1
128319.686,1029589.379,0,3162441.573,0,209,0,0,0,0,0,0,0,0,0,0
128319.686,1031296.973,0,1981938.03,3,210,0,0,0,0,0,0,0,1,0,1
130027.2797,942502.0996,0,2810120.344,0,211,0,0,0,0,0,0,0,0,0,0
130027.2797,944209.6934,0,2915876.351,0,212,0,0,0,0,0,0,0,0,0,0
130027.2797,945917.2871,0,2915876.351,0,213,0,0,0,0,0,0,0,0,0,0
130027.2797,947624.8808,0,2915876.351,0,214,0,0,0,0,0,0,0,0,0,0
130027.2797,949332.4745,0,2915876.351,0,215,0,0,0,0,0,0,0,0,0,0
130027.2797,951040.0682,0,2915876.351,0,216,0,0,0,0,0,0,0,0,0,0
130027.2797,952747.662,0,2915876.351,0,217,0,0,0,0,0,0,0,0,0,0
130027.2797,954455.2557,0,2915876.351,0,218,0,0,0,0,0,0,0,0,0,0
130027.2797,956162.8494,0,2915876.351,0,219,0,0,0,0,0,0,0,0,0,0
130027.2797,957870.4431,0,2915876.351,0,220,0,0,0,0,0,0,0,0,0,0
130027.2797,959578.0368,0,2915876.351,0,221,0,0,0,0,0,0,0,0,0,0
130027.2797,961285.6305,0,2915876.351,0,222,0,0,0,0,0,0,0,0,0,0
130027.2797,962993.2243,0,2915876.351,0,223,0,0,0,0,0,0,0,0,0,0
130027.2797,964700.818,0,2915876.351,0,224,0,0,0,0,0,0,0,0,0,0
130027.2797,966408.4117,0,2915876.351,0,225,0,0,0,0,0,0,0,0,0,0
130027.2797,968116.0054,0,2915876.351,0,226,0,0,0,0,0,0,0,0,0,0
130027.2797,969823.5991,0,2915876.351,0,227,0,0,0,0,0,0,0,0,0,0
130027.2797,971531.1929,0,2915876.351,0,228,0,0,0,0,0,0,0,0,0,0
130027.2797,973238.7866,0,2915876.351,0,229,0,0,0,0,0,0,0,0,0,0
130027.2797,974946.3803,0,2915875.857,0,230,0,0,0,0,0,0,0,0,0,0
130027.2797,976653.974,0,2915876.351,2,231,0,0,0,0,0,0,0,1,0,1
130027.2797,978361.5677,0,2915876.351,0,232,0,0,0,0,0,0,0,0,0,0
